,precision,recall,f1-score,support
0,0.8183560366706376,0.79,0.8039280535273615,20000.0
1,0.7970328130285603,0.82465,0.8106062467746296,20000.0
accuracy,0.807325,0.807325,0.807325,0.807325
macro avg,0.807694424849599,0.8073250000000001,0.8072671501509956,40000.0
weighted avg,0.8076944248495989,0.807325,0.8072671501509955,40000.0
