,precision,recall,f1-score,support
0,0.8075065616797901,0.76915,0.7878617157490396,20000.0
1,0.779618138424821,0.81665,0.7977045177045177,20000.0
accuracy,0.7929,0.7929,0.7929,0.7929
macro avg,0.7935623500523055,0.7928999999999999,0.7927831167267787,40000.0
weighted avg,0.7935623500523056,0.7929,0.7927831167267786,40000.0
