,precision,recall,f1-score,support
0,0.8007690708792351,0.7705,0.7853429823667313,20000.0
1,0.7788591250722683,0.8083,0.7933065070173717,20000.0
accuracy,0.7894,0.7894,0.7894,0.7894
macro avg,0.7898140979757517,0.7894,0.7893247446920515,40000.0
weighted avg,0.7898140979757517,0.7894,0.7893247446920515,40000.0
