,precision,recall,f1-score,support
0,0.8418818535550053,0.595,0.6972315804892338,20000.0
1,0.6868354919775759,0.88825,0.77466477706312,20000.0
accuracy,0.741625,0.741625,0.741625,0.741625
macro avg,0.7643586727662905,0.741625,0.7359481787761769,40000.0
weighted avg,0.7643586727662905,0.741625,0.735948178776177,40000.0
